A,O,T,mac,meanlat,meanmac,meanwhak,minlat,n,p,perimeter,q,r,whak
8.507e11,409200.0,221.0,98.6,-87.16,1.159e-10,9.474e-14,87.16,1,-1,2.618e6,1.728e-10,147.0,0.08059
3.192e12,387800.0,229.9,492.0,-65.61,1.541e-10,2.523e-13,57.52,1,-1,9.768e6,2.03e-10,648.1,0.8053
5.008e13,644700.0,279.6,85310.0,18.84,1.703e-9,2.141e-9,1.856,1,-1,7.854e7,7.513e-9,376200.0,107200.0
8.507e11,409200.0,223.3,103.5,87.16,1.216e-10,1.163e-13,87.16,1,-1,2.618e6,1.725e-10,146.7,0.09893
9.067e11,396300.0,282.0,458.1,-28.39,5.053e-10,6.913e-11,24.12,1,-1,4.69e6,6.129e-10,555.7,62.68
4.112e12,456800.0,268.4,2857.0,-35.75,6.948e-10,2.822e-11,20.41,1,-1,1.046e7,1.695e-9,6969.0,116.0
1.783e13,520600.0,247.0,18630.0,54.95,1.045e-9,7.394e-11,27.83,1,-1,3.771e7,2.951e-9,52620.0,1318.0
1.103e11,267400.0,244.8,27.4,-50.1,2.483e-10,1.368e-12,50.1,1,-1,1.363e6,2.947e-10,32.52,0.151
1.016e11,246200.0,240.6,14.01,-53.81,1.379e-10,5.06e-13,53.81,1,-1,1.319e6,1.58e-10,16.05,0.0514
2.151e12,450300.0,286.4,337.5,-26.4,1.569e-10,3.321e-11,20.41,1,-1,7.032e6,1.712e-10,368.2,71.43
8.425e11,409700.0,294.3,2983.0,11.49,3.541e-9,4.129e-9,9.278,1,-1,4.112e6,1.016e-8,8560.0,3479.0
8.325e11,404800.0,296.0,18.61,-14.46,2.235e-11,1.202e-11,12.99,1,-1,4.087e6,2.372e-11,19.74,10.01
9.548e11,394700.0,290.6,1313.0,22.24,1.375e-9,6.187e-10,20.41,1,-1,4.745e6,2.103e-9,2008.0,590.8
1.727e13,633500.0,278.3,6673.0,-29.39,3.864e-10,1.415e-10,9.278,1,-1,2.703e7,7.489e-10,12930.0,2443.0
1.69e12,410800.0,288.0,308.1,26.35,1.823e-10,5.364e-11,20.41,1,-1,6.299e6,1.997e-10,337.5,90.63
3.796e12,455200.0,290.3,2076.0,21.71,5.47e-10,2.985e-10,12.99,1,-1,1.129e7,7.522e-10,2855.0,1133.0
1.367e12,419100.0,284.9,398.2,27.75,2.913e-10,5.231e-11,24.12,1,-1,4.698e6,3.273e-10,447.5,71.53
1.309e13,462400.0,222.4,1429.0,-72.75,1.092e-10,1.159e-13,50.1,2,-1,2.863e7,1.528e-10,2000.0,1.516
1.376e13,658400.0,272.5,10850.0,37.18,7.89e-10,5.198e-11,20.41,2,-1,1.948e7,1.695e-9,23320.0,715.0
8.507e11,409200.0,225.2,117.8,87.16,1.385e-10,1.552e-13,87.16,2,-1,2.618e6,1.943e-10,165.3,0.132
4.952e13,703000.0,274.3,60220.0,16.97,1.216e-9,7.898e-10,1.856,2,-1,6.905e7,3.862e-9,191200.0,39110.0
2.031e11,246200.0,244.1,29.32,-53.81,1.443e-10,7.14e-13,53.81,2,-1,1.805e6,1.634e-10,33.19,0.145
5.159e11,412700.0,293.4,2702.0,-0.6185,5.237e-9,2.163e-8,1.856,2,-1,3.333e6,5.948e-8,30680.0,11160.0
1.193e12,412300.0,295.7,3816.0,-7.68,3.199e-9,6.993e-9,5.567,2,-1,4.965e6,1.713e-8,20440.0,8341.0
2.778e12,345700.0,252.2,5389.0,49.52,1.94e-9,1.527e-10,38.97,2,-1,1.355e7,7.465e-9,20730.0,424.2
1.186e12,434600.0,295.7,1792.0,-9.791,1.512e-9,1.715e-9,5.567,2,-1,5.782e6,3.774e-9,4474.0,2033.0
4.021e12,387400.0,262.4,3252.0,-39.16,8.088e-10,4.282e-11,27.83,2,-1,1.373e7,1.976e-9,7946.0,172.2
1.197e12,436800.0,294.2,5586.0,5.553,4.666e-9,1.733e-8,1.856,2,-1,4.983e6,4.702e-8,56300.0,20750.0
1.782e13,736800.0,267.4,22420.0,39.88,1.258e-9,9.325e-11,20.41,2,-1,2.324e7,4.083e-9,72750.0,1661.0
5.151e11,412700.0,293.1,2782.0,3.089,5.401e-9,2.906e-8,1.856,2,-1,3.331e6,8.117e-8,41810.0,14970.0
2.452e12,419500.0,284.0,714.9,-26.51,2.915e-10,4.6e-11,16.7,2,-1,8.556e6,3.503e-10,858.9,112.8
4.972e11,401700.0,294.8,218.2,-15.45,4.388e-10,2.197e-10,12.99,2,-1,3.269e6,5.057e-10,251.5,109.2
8.507e11,409200.0,218.3,77.69,-87.16,9.133e-11,5.831e-14,87.16,3,-1,2.618e6,1.357e-10,115.4,0.0496
2.485e13,586800.0,291.3,48800.0,-5.179,1.964e-9,2.924e-9,1.856,3,-1,4.746e7,8.543e-9,212300.0,72660.0
5.959e12,415300.0,229.6,1652.0,74.0,2.772e-10,1.065e-12,61.23,3,-1,1.389e7,5.084e-10,3029.0,6.344
1.001e13,538400.0,247.6,8162.0,-47.34,8.153e-10,3.882e-11,27.83,3,-1,1.727e7,2.155e-9,21580.0,388.7
1.103e11,267400.0,253.4,264.7,50.1,2.398e-9,8.737e-11,50.1,3,-1,1.363e6,8.61e-9,950.1,9.641
6.365e11,385700.0,290.4,75.04,22.24,1.179e-10,3.597e-11,20.41,3,-1,3.206e6,1.272e-10,80.97,22.9
2.702e12,440700.0,290.4,1205.0,21.46,4.46e-10,2.157e-10,12.99,3,-1,8.056e6,5.699e-10,1540.0,582.6
1.464e12,353400.0,241.4,310.9,-52.19,2.124e-10,1.042e-12,46.39,3,-1,5.818e6,2.534e-10,370.9,1.525
