A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.00167,0.00311,0.00366,2.99e-06,2.54e-06,87.2,0,4,6.91e-07,0.000808
0.00626,0.0155,0.00486,7.96e-06,2.54e-05,65.6,0,4,6.91e-06,0.00403
0.0982,2.69,0.0537,0.0675,3.38,18.8,2,1,0.919,0.699
0.00167,0.00326,0.00383,3.67e-06,3.12e-06,87.2,0,4,8.49e-07,0.000848
0.00178,0.0144,0.0159,0.00218,0.00198,28.4,0,1,0.000538,0.00375
0.00806,0.0901,0.0219,0.00089,0.00366,35.8,0,2,0.000995,0.0234
0.035,0.588,0.033,0.00233,0.0416,55,1,3,0.0113,0.153
0.000216,0.000864,0.00783,4.31e-05,4.76e-06,50.1,0,3,1.3e-06,0.000224
0.000199,0.000442,0.00435,1.6e-05,1.62e-06,53.8,0,3,4.41e-07,0.000115
0.00422,0.0106,0.00495,0.00105,0.00225,26.4,0,1,0.000613,0.00276
0.00165,0.0941,0.112,0.13,0.11,11.5,0,0,0.0298,0.0244
0.00163,0.000587,0.000705,0.000379,0.000316,14.5,0,0,8.59e-05,0.000152
0.00187,0.0414,0.0434,0.0195,0.0186,22.2,0,1,0.00507,0.0108
0.0339,0.21,0.0122,0.00446,0.077,29.4,1,1,0.021,0.0547
0.00331,0.00972,0.00575,0.00169,0.00286,26.4,0,1,0.000777,0.00252
0.00744,0.0655,0.0173,0.00941,0.0357,21.7,0,1,0.00972,0.017
0.00268,0.0126,0.00919,0.00165,0.00226,27.8,0,1,0.000614,0.00326
0.0257,0.0451,0.00344,3.66e-06,4.78e-05,72.8,1,4,1.52e-05,0.0118
0.027,0.342,0.0249,0.00164,0.0225,37.2,1,2,0.00718,0.0894
0.00167,0.00371,0.00437,4.89e-06,4.16e-06,87.2,0,4,1.33e-06,0.000971
0.0971,1.9,0.0383,0.0249,1.23,17,2,1,0.393,0.496
0.000398,0.000925,0.00455,2.25e-05,4.57e-06,53.8,0,3,1.46e-06,0.000242
0.00101,0.0852,0.165,0.682,0.352,0.619,0,0,0.112,0.0223
0.00234,0.12,0.101,0.221,0.263,7.68,0,0,0.0838,0.0315
0.00545,0.17,0.0612,0.00482,0.0134,49.5,0,3,0.00426,0.0444
0.00233,0.0565,0.0477,0.0541,0.0641,9.79,0,0,0.0204,0.0148
0.00788,0.103,0.0255,0.00135,0.00543,39.2,0,2,0.00173,0.0268
0.00235,0.176,0.147,0.547,0.654,5.55,0,0,0.208,0.046
0.0349,0.707,0.0397,0.00294,0.0524,39.9,1,2,0.0167,0.185
0.00101,0.0877,0.17,0.916,0.472,3.09,0,0,0.15,0.0229
0.00481,0.0225,0.00919,0.00145,0.00356,26.5,0,1,0.00113,0.00589
0.000975,0.00688,0.0138,0.00693,0.00344,15.4,0,1,0.0011,0.0018
0.00167,0.00245,0.00288,1.84e-06,1.56e-06,87.2,0,4,2.05e-07,0.000461
0.0487,1.54,0.0619,0.0922,2.29,5.18,2,0,0.3,0.29
0.0117,0.0521,0.00874,3.36e-05,0.0002,74,0,4,2.62e-05,0.00981
0.0196,0.257,0.0257,0.00122,0.0123,47.3,1,3,0.0016,0.0485
0.000216,0.00835,0.0756,0.00276,0.000304,50.1,0,3,3.98e-05,0.00157
0.00125,0.00237,0.00372,0.00113,0.000722,22.2,0,1,9.45e-05,0.000446
0.0053,0.038,0.0141,0.0068,0.0184,21.5,0,1,0.0024,0.00716
0.00287,0.0098,0.0067,3.29e-05,4.81e-05,52.2,0,3,6.29e-06,0.00185
0.00602,0.208,0.0679,0.164,0.503,5.94,0,0,0.0658,0.0393
0.00458,0.0957,0.041,0.000731,0.00171,59.2,0,3,0.000224,0.018
0.0147,0.144,0.0191,0.0174,0.131,23.6,1,1,0.0171,0.027
0.000524,0.0246,0.0919,0.00581,0.00155,39,0,2,0.000203,0.00463
0.0563,1.48,0.0518,0.0657,1.88,8.45,2,0,0.247,0.28
0.0426,1.4,0.0644,0.129,2.8,19.6,1,1,0.366,0.264
0.0102,0.0336,0.00649,3.2e-05,0.000166,55.3,0,3,2.17e-05,0.00634
0.000262,0.0101,0.0756,0.00535,0.000715,39,0,2,9.35e-05,0.0019
0.113,1.32,0.023,0.0264,1.52,42.7,3,2,0.268,0.308
0.0106,0.353,0.0652,0.117,0.635,19.4,0,1,0.112,0.0823
0.00167,0.00383,0.0045,5.19e-06,4.41e-06,87.2,0,4,7.76e-07,0.000892
0.0147,0.126,0.0168,0.0101,0.0754,25,1,1,0.0133,0.0293
0.00128,0.0131,0.0201,0.00742,0.00484,18.5,0,1,0.00085,0.00305
0.00305,0.0371,0.0238,0.000149,0.000232,64.1,0,3,4.07e-05,0.00866
0.000616,0.00375,0.0119,0.0034,0.00107,24.1,0,1,0.000187,0.000874
0.00341,0.0069,0.00397,4.51e-06,7.84e-06,67.4,0,4,1.38e-06,0.00161
0.000333,0.00919,0.0541,0.0359,0.0061,9.28,0,0,0.00107,0.00214
0.0037,0.292,0.154,0.418,0.789,0.169,0,0,0.139,0.068
0.0101,0.254,0.0493,0.0537,0.276,21.8,0,1,0.0486,0.0592
